"Character","Creator","Alignment","Alter_Egos","Eye_color","Hair_color","Species","IQ","Intelligence","Strength","Combat","Durability"
"Dracula (BBC)","None","Bad","None","Hazel","Black","None",160,80,25,70,30
"Dragan","Shueisha","Good","None","Purple","Orange","Human",160,80,1,80,20
"Dragon","Shueisha","Bad","None","Red","Pink","None",130,65,25,50,30
"Dragon Emperor","None","Bad","None","Brown","Black","None",140,70,25,100,30
"Dragon Shiryu","Shueisha","Good","None","Green","Black","Human",160,80,85,95,90
"Dragonborn","None","None","None","None","None","None",180,90,100,100,100
"Dragonite","Nintendo","Good","None","Hazel","None","None",120,60,50,50,85
"Dragonzord","Power Rangers","None","None","None","None","None",120,60,55,100,60
"Drahmin","Mortal Kombat","Bad","None","No eyes","No Hair","Demon",90,45,5,85,15
"Draken","Kodansha","Good","None","Blue","Blond","None",90,45,8,70,19
"Drakonskyr","None","None","None","None","None","None",200,100,100,100,100
"Draven","Riot Games","Bad","Draven",NA,"Brown / Black","Human",110,55,10,70,15
"Draven (Ruined)","Riot Games","Bad","Draven","Green","Black","Human",100,50,25,65,25
"Drax the Destroyer","Marvel Comics","Good","Drax The Destroyer","Red","No Hair","Human",90,45,95,85,85
"Drax The Destroyer","Marvel Comics","Good","None","None","No Hair","Alien",90,45,30,65,25
"Drax The Destroyer (Classic)","Marvel Comics","Good","Drax the Destroyer","Red","No Hair","Human",80,40,100,85,100
"Dream Girl","DC Comics","Good","None","Blue","White","Alien",170,85,1,45,10
"Dream Of The Endless","DC Comics","Good","None",NA,NA,"None",200,100,100,100,100
"Dreamy Bowser (Dreamy Bowser)","Nintendo","Bad","Black Bowser,Bowcien,Bowser,Bowser (Giga Bowser),MegaDragonBowser,Metal Bowser,Rookie Bowser,Shiny RoboBowser",NA,NA,"None",170,85,100,100,100
"Dredd (Makino Upgraded Mode)","Mattel","Bad","None","Red","Brown","Human",160,80,25,40,50
"Drift","Epic","Good","None","Pink","Blond","Human",90,45,1,70,12
"Drill Sergeant","Activision Blizzard","Good","None","Yellow (without irises)","No Hair","None",110,55,1,30,11
"Driller","Hasbro","None","None","None","None","None",55,30,100,50,30
"Drizzt Do'urden (Forgotten Realms)","None","Good","None","Purple","White","Elf",170,85,1,100,65
"Drossel Von Flugel","Disney","Good","None","Blue","White","Robot",108,55,1,45,10
"Druig","Marvel Comics","Good","None","Blue","Black","Eternal",130,65,25,70,20
"Dry Bones","Nintendo","Bad","None","Yellow","No Hair","Animal",90,45,5,20,10
"Dryoid","Sega","Neutral","None","Orange","No Hair","Robot",130,65,100,100,100
"Dual Hydranoid","Sega","Bad","Alpha-Hydranoid","Red","No Hair","None",160,80,100,80,90
"Dubhe Siegfried","Shueisha","Good","None",NA,NA,"Demi-God",200,100,100,100,100
"Dude","Disney","None","None","None","None","None",60,30,1,30,15
"Dumon","Shueisha","Bad","None","Grey","Purple","Alien",160,80,55,85,50
"Duncan Idaho","None","Good","None","Green","Brown / Black","Human",130,65,1,75,10
"Duskmon","Shueisha","Bad","JagerLoweemon,Loweemon,Velgemon",NA,NA,"Human",130,65,75,75,60
"Dussu","Disney","Neutral","None","Pink",NA,"Deity",109,55,1,8,100
"Dustin Henderson","None","Good","None","Brown","Brown","None",110,55,1,20,5
"Dweller-in-Darkness","Marvel Comics","Bad","None","Black","No Hair","None",130,65,80,60,35
"Dweller In Darkness","Marvel Comics","None","None","None","None","None",160,80,100,50,100
"Dyrasem","Shueisha",NA,"None","Green","Blue","None",90,45,70,70,60
"Dyspo","Shueisha","Good","None","Yellow","No Hair","None",130,65,100,100,100
"E-100 Alpha (E-100)","Sega","Bad","None","Red","No Hair","Android",190,95,75,20,70
"Earth Elementor","Mattel","Bad","None",NA,"No Hair","Robot",75,40,25,40,35
"Eatle","Cartoon Network","Good","None","Green","None","Alien",100,50,30,70,90
"Ebirah","IDW Publishing","Bad","None",NA,NA,"Kaiju",70,35,75,20,25
"Ebonwumon","Shueisha","Good","None","Red",NA,"Deity",170,85,100,90,100
"Ebony Maw","Marvel Comics","Bad","None","Blue","No Hair","Alien",180,90,95,50,15
"Ecco","DC Comics","Bad","None","Brown","Blond","Human",130,65,1,80,10
"Echidna","None","None","None","None","None","None",200,100,100,90,100
"Echo","George Lucas","Good","None","Brown","No Hair","Human",110,55,1,55,7
"Echo Echo","Cartoon Network","Good","None","Green","No Hair","Alien",115,60,30,90,40
"Eclipso","DC Comics","None","None","None","None","None",200,100,100,100,100
"Eclipso (Heart of Darkness)","DC Comics","None","None","None","None","None",200,100,100,100,100
"Ecthelion","J. R. R. Tolkien","Good","None",NA,"Black","Elf",175,90,55,100,75
"ED-209 (209)","Boom! Studios","Bad","None",NA,NA,"Robot",45,25,25,1,10
"Eda","Disney","Good","None","Orange","Grey","None",120,60,30,65,35
"Eddard Stark","George R. R. Martin","Good","None",NA,"Brown","Human",130,65,1,60,10
"Eddie Morra","None","Good","None","Blue","Black","Human",200,100,5,100,10
"Edgar The Bug","Marvel Comics","Bad","None","Yellow","No Hair","Alien",100,50,25,30,20
"Edgeshot","Shueisha","Good","None","Grey","Grey","Human",110,55,25,85,20
"Edo Itachi","Shueisha","Good","Itachi Uchiha","Red","Black","Zombie",170,85,100,70,40
"Edo Nagato","Shueisha","Good","Nagato","Purple","Red","Human",150,75,75,70,40
"Edward Cullen","None","Good","None","None","None","Vampire",130,65,30,60,25
"Edward Elric","Square Enix","Good","None","Gold","Blond","Human",170,85,14,80,30
"Edward Kenway","Ubisoft","Good","None","Green","Blond","Human",120,60,5,70,9
"Edward Spellman (Netflix)","None","None","None","None","None","None",110,55,1,10,50
"Eevee","Nintendo","Neutral","Espeon,Glaceon,Leafeon,Sylveon,Vaporeon","Black","Brown","Pok�mon",145,75,85,65,55
"Eggsy","Disney","Good","None",NA,NA,"Human",120,60,1,70,7
"Ego","Marvel Comics","Bad","None","None","None","None",190,95,100,50,100
"Ego-Prime","Marvel Comics","Good","None","None","None","None",188,95,100,100,90
"Ego the Necroworld","Marvel Comics","Neutral","None",NA,NA,"Cosmic Entity",200,100,100,65,100
"Eighteight","Cartoon Network","Neutral","None",NA,NA,"None",130,65,25,90,30
"Eighth Brother","George Lucas","Bad","None",NA,NA,"None",94,45,30,60,25
"Eihort","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Eijiro Kirishima","Shueisha","Good","None","Red","Red","Human",110,55,25,60,30
"Ein","Shueisha","None","None","None","None","None",130,65,60,90,50
"Eithan","None","Good","None","Blue","Gold","Human",170,85,100,100,50
"Ekans","Nintendo","Neutral","None","Yellow","No Hair","Pok�mon",80,40,13,10,15
"Ekko","Riot Games","Good","None",NA,"White","Human",170,85,1,40,10
"El Diablo","DC Comics","Neutral","None","Black","No Hair","Human",120,60,25,60,35
"Elaine Belloc (Angel)","DC Comics","Good","Elaine Belloc,Elaine Belloc","Amber","Black","God / Eternal",200,100,100,100,100
"Elaine Belloc (Dunamis Demiurgos)","DC Comics","Good","Elaine Belloc,Elaine Belloc","None","None","God / Eternal",200,100,100,100,100
"Elasti-Girl","DC Comics","Good","None","Green","Brown","None",160,80,100,70,100
"Elastigirl","Pixar","Good","None","Brown","Brown","Human",145,75,25,75,50
"Elder Centipede","Shueisha","Bad","None",NA,NA,"Animal",90,45,100,20,35
"Elder God Demonbane","None","Bad","None","None","None","God / Eternal",200,100,100,100,100
"Elder Kai","Shueisha","Good","None","Black","White","God / Eternal",160,80,10,25,20
"Elder Things","H.P. Lovecraft","Neutral","None",NA,NA,"Alien",175,90,75,65,75
"Eldrad Ulthran","Warhammer 40K","None","None","None","None","None",190,95,100,95,100
"Eldritch Devil","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Elec Man","Capcom","Good","None","Blue",NA,"Android",125,65,1,25,7
"Electro","Marvel Comics","Bad","None",NA,NA,"Human",110,55,1,25,5
"Eleking","None",NA,"None",NA,NA,"Kaiju",80,40,75,30,35
"Elektra","Marvel Comics","Neutral","None","Black","Brown","Human",130,65,1,90,5
"Elemental","None","None","None","None","None","None",200,100,100,100,100
"Elendil","J. R. R. Tolkien","Good","None",NA,NA,"Human",160,80,25,70,20
"Elesh Norn, Grand Cenobite","Hasbro","Bad","None","No eyes","White","None",160,80,35,60,55
"Eleven","None","Good","None","Brown","Brown","Mutant",120,60,1,40,30
"Elfo","Matt Groening","None","None","None","None","None",90,45,1,15,5
"Elijah Mikaelson","Team Epic TV","Good","None","Brown","Black","Vampire",170,85,25,80,30
"Elise","Riot Games","Bad","None","Red","Black","Human",140,70,25,45,25
"Elixir","Marvel Comics","Good","None","Blue","Blond","Mutant",120,60,1,1,15
"Empty Hand","DC Comics","Bad","None","Blue","No Hair","Cosmic Entity",200,100,100,100,100
"Engineer","DC Comics","Good","None","Green","Black","Human",170,85,30,65,30
"Envy","Square Enix","Bad","None","Violet","Black","Inhuman",90,45,30,65,25
"Eon","Marvel Comics","Neutral","None","Green","Brown","Cosmic Entity",200,100,100,50,90
"Eönwë","J. R. R. Tolkien","Good","None",NA,NA,"None",150,75,100,100,100
"Epel Felmier","Disney",NA,"None","Violet","Blue","Human",140,70,1,70,10
"Ephrael Stern","Warhammer 40K","None","None","None","None","None",180,90,90,90,85
"Epoch","Marvel Comics","Neutral","None","Red","Brown","Cosmic Entity",200,100,100,40,80
"Equinox","Marvel Comics","Bad","None","Brown","No Hair","Human",110,55,30,40,35
"Eradicator","DC Comics","None","Morgan Edge","None","None","None",150,75,100,70,50
"Eraser Head","Shueisha","Good","None","Black","Black","Human",120,60,25,80,20
"Erazor","Shueisha","Bad","None","Black","Black","Human",150,75,25,90,20
"Erebos (God of the Dead)","Hasbro","Neutral","None",NA,NA,"Deity",160,80,100,45,75
"Erebus","None","None","None","None","None","None",130,65,100,85,100
"Eren Yeager","Kodansha","Good","Attack Titan,Warhammer Titan","Grey","Black","Human",140,70,5,80,15
"Ereshkigal","None","None","None","None","None","None",180,90,100,100,100
"Erginus","None","Bad","None",NA,NA,"Kaiju",80,40,75,30,30
"Eric Lecarde","Konami","Good","None","Blue","Blond","Human",160,80,100,80,100
"Eric Summers","DC Comics","None","None","None","None","None",130,65,95,30,65
"Erik Killmonger","Marvel Comics","Bad","None","Brown","Black","Human",150,75,25,100,20
"Erika Furudo","None","None","None","None","None","None",200,100,100,100,100
"Eris","Dreamworks","Bad","None","Red","Black","God / Eternal",181,90,100,25,80
"Ermac","Mortal Kombat","Bad","None","Green","Black","Human",170,85,25,100,20
"Ermes Costello","Shueisha","Good","None","Grey","Black","Human",150,75,1,90,10
"Erron Black","Mortal Kombat","None","None","None","None","None",130,65,15,80,15
"Ertai The Corrupted","Hasbro","Bad","None",NA,NA,"Human",150,75,25,40,30
"Eru Iluvatar","J. R. R. Tolkien","Good","None","None","White","God / Eternal",200,100,100,100,100
"Eruptor","Activision Blizzard","Good","None","Yellow / Red","No Hair","None",85,45,25,35,20
"Erwin Smith","Kodansha","Good","None","Blue","Blond","Human",180,90,5,80,20
"Erza Scarlet","Kodansha","Good","None","Brown","Red","Human",110,55,50,85,35
"Erza Scarlet (100 Years Quest)","Kodansha","None","None","None","None","None",160,80,80,90,90
"Es (Embryo Storage)","None",NA,"None",NA,NA,"None",200,100,100,100,100
"Escanor","Kodansha","Good","None","Blue","Blond","Human",120,60,50,80,45
"Esdeath","Square Enix","Bad","None","Blue","Blue","Human",170,85,100,100,30
"Esme Cuckoo","Marvel Comics",NA,"None","Blue","Blond","None",110,55,25,15,70
"Eson the Searcher","Marvel Comics","Neutral","None",NA,NA,"Celestials",200,100,100,60,95
"Eson The Searcher","Marvel Comics","Neutral","None",NA,NA,"Celestials",185,95,100,85,75
"Espio The Chameleon","Sega","Good","None","Gold",NA,"Animal",120,60,55,100,60
"Estë","J. R. R. Tolkien","None","None","None","None","None",200,100,100,100,100
"Esther Mikaelson","Team Epic TV","Bad","None","Brown","Blond","Human",150,75,1,20,5
"Etemon","Shueisha","Bad","None",NA,NA,"Animal",120,60,95,75,80
"Eternamax Eternatus","Nintendo","Bad","Eternatus",NA,NA,"Pok�mon",80,40,100,55,50
"Eternatus","Nintendo","Bad","Eternamax Eternatus","No eyes","No Hair","Pok�mon",100,50,35,60,60
"Eternity","Marvel Comics","Neutral","None","None","None","Cosmic Entity",200,100,100,100,100
"Eternity (Silver Surfer Show)","Marvel Comics","None","None","None","None","None",200,100,100,45,100
"Eternity Girl","DC Comics","Good","Eternity Girl","Yellow","Blue","None",120,60,25,65,30
"Eternity Girl (Merged With The Shining Tower)","DC Comics",NA,"Eternity Girl",NA,NA,"None",200,100,100,100,100
"Ethan Hunt","None","Good","None","Brown","Brown","Human",125,65,1,70,7
"Ethan Nakamura","Rick Riordan","None","None","None","None","None",130,65,80,85,50
"Ethari","None","Good","None","Brown","White","Elf",115,60,1,10,8
"Etheyra","None","None","None","None","None","None",200,100,100,100,100
"Etrigan","DC Comics","Neutral","None","Red","No Hair","Demon",120,60,60,80,70
"Euphoria","Marvel Comics","Neutral","None","White","No Hair","Cosmic Entity",170,85,100,30,50
"Eurus Holmes (Sherlock)","Dark Horse Comics","Neutral","None",NA,"Black","None",170,85,1,50,5
"Eva","Pixar","Good","None","Blue",NA,"Robot",120,60,30,20,35
"Eva-Beatrice","07th Expansion","None","None","None","None","None",200,100,100,100,100
"Evangelene","Netflix","Good","None","Green","Blond","Elf",110,55,1,70,10
"Eve","None","Good","None","Blue","Red","Human",180,90,25,100,80
"Evelynn","Riot Games","Bad","None","Yellow","White","Demon",140,70,35,50,35
"Even Piell","George Lucas","None","None","None","None","None",140,70,75,100,40
"Evergreen","Kodansha","Good","None","Brown","Brown","Human",110,55,1,30,25
"Evie Frye","Ubisoft","Good","None","Blue","Brown","Human",130,65,1,65,9
"Evil Emperor Zurg","Pixar","Bad","None","Yellow / Red","No Hair","Alien",115,60,25,30,15
"Evil Queen","ABC Studios","Bad","None","Brown","Brown","Human",130,65,25,50,50
"Evolutionary","Marvel Comics","Bad","None","Brown","Brown","Altered",130,65,6,40,40
"Evolved Razenoid","Sega","Bad","Phantom Dharak","Red","Black","None",150,75,100,70,100
"Ex Nihila","Marvel Comics","Good","None","Green","No Hair","Alien",180,90,25,40,35
"Ex Nihili","Marvel Comics","Good","None","Green","No Hair","Alien",170,85,25,50,20
"Exar Kun","George Lucas","Bad","Exar Kun (Force Spirit)","Grey","Black","Human",145,75,25,100,85
"Exdeath","Square Enix",NA,"None",NA,NA,"None",140,70,100,90,100
"Executioner","Marvel Comics","Neutral","None","Brown","Black","Asgardian",120,60,95,85,70
"Exedra","Sega","Good","None","Yellow","No Hair","None",170,85,100,30,70
"Exitar The Executioner","Marvel Comics","Neutral","None",NA,NA,"Celestials",200,100,100,65,100
"Exodus","Marvel Comics","Bad","None","Blue","Black","Mutant",135,70,55,80,65
"Expatriette","None","Good","None","Brown","Purple","Human",130,65,1,75,10
"Extant (Worlogog)","DC Comics",NA,"None",NA,NA,"None",200,100,100,100,100
"Exterminator","Marvel Comics","Bad","None","None","None","Robot",150,75,100,70,85
"Extremoth","Capcom","Neutral","None","Red","Black","Dragon",110,55,75,75,60
"Eye Guy","Cartoon Network","Good","None","Green","None","Alien",100,50,25,80,50
"Eyeless Jack","None","None","None","None","None","None",170,85,1,70,15
"Eyepatch","Shueisha","Good","None","Grey","White","None",140,70,25,60,30
"Eyes Of Heaven Jotaro","Shueisha","None","None","None","None","None",200,100,100,95,100
"Eyes Of The Death Worlds","Cartoon Network","None","None","None","None","None",200,100,100,15,100
"Ezio Auditore","Ubisoft","Good","None","Brown","Brown","Human",135,70,5,90,9
"Ezra Bridger","George Lucas","Good","None","Blue","Black / Blue","Human",120,60,30,75,25
"Ezreal","Riot Games","Neutral","None","Blue","Blond","Human",130,65,1,30,15
"F. P. Jones","None","None","None","None","None","None",100,50,5,40,5
"Faceless","None","Neutral","None",NA,NA,"None",160,80,25,70,30
"Faceless God","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Facemaker","None","None","None","None","None","None",90,45,1,25,5
"Fade","Epic","Good","None","Purple","Purple","Human",90,45,1,70,12
"Fairchild","DC Comics","Good","None","Green","Red","Human",140,70,70,80,40
"Fairy Queen","None","Good","None",NA,NA,"Deity",200,100,100,100,100
"Fakir Al Sidi","None","None","None","None","None","None",200,100,100,100,100
"Falco","Shueisha","None","None","None","None","None",160,80,85,100,65
"Falcon","Marvel Comics","Good","Captain America","Brown","Black","Human",120,60,25,75,30
"Fallen One","Marvel Comics","Bad","None","Black","Blue","None",120,60,100,60,90
"Famine","None","Bad","None",NA,NA,"God / Eternal",200,100,100,100,100
"Famine (Cypher Possessed by Krakoa)","Marvel Comics","Good","None","Yellow","Brown","Mutant",170,85,25,50,55
"Fanatic","None","Good","None","Brown","Black","Demi-God",130,65,50,65,40
"Fancy Pants Man (Newgrounds)","None","Good","None","No eyes","White","Human",118,60,11,70,30
"Fandral","Marvel Comics","None","None","Blue","Blond","Asgardian",130,65,30,95,50
"Fang The Sniper (Fang)","Sega","Neutral","None","Blue","Purple","Animal",100,50,75,80,40
"Fangs","None","None","None","None","None","None",90,45,5,40,5
"Fantomex","Marvel Comics","Bad","None","Blue","Black","Mutant",150,75,8,90,15
"Faora","DC Comics","Bad","None","Black","Black","Kryptonian",145,75,100,80,85
"Farbros","Sega","Bad","None","Green","No Hair","Robot",120,60,100,70,100
"Farmer Brown","DC Comics","None","None","None","None","None",150,75,5,30,50
"Fast Foward","None","None","None","None","None","None",90,45,1,25,5
"Fasttrack","Cartoon Network","Good","None","Green","None","Alien",100,50,25,90,55
"Fat Bastard","None","Bad","None","Brown","Strawberry Blond","Human",100,50,6,55,15
"Fat Gum","Shueisha","Good","None","Yellow","Blond","Human",110,55,85,85,25
"Fat Thor","Marvel Comics","Good","Thor,Thor,Thor,Unworthy Thor","Blue","Blond","Asgardian",140,70,100,85,50
"Fate","Square Enix","None","None","None","None","None",200,100,100,90,100
"Fathalis","Capcom","Bad","None","Yellow (without irises)","No Hair","Dragon",120,60,100,70,60
"Father","Square Enix","Bad","Father,Father","Yellow","Blond","Inhuman",170,85,1,70,25
"Father (Post-Transputiation)","Square Enix","None","Father,Father","None","None","None",180,90,100,70,100
"Father (Power of God)","Square Enix","None","Father,Father","None","None","None",190,95,100,75,100
"Father Balder","Sega","Bad","None","Blue","White","Human",130,65,100,80,100
"Father Gomez","Netflix","None","None","None","None","None",130,65,5,25,5
"Father Of Ultra","None","Good","None","Yellow","Silver","Alien",160,80,80,90,70
"Father Rodin","Sega","Neutral","Rodin,Rodin","Red","No Hair","None",140,70,100,80,100
"Father Time","DC Comics","Neutral","None","None","None","God / Eternal",200,100,100,100,100
"Faust","Kodansha","Neutral","None","Purple","Blond","None",130,65,13,80,15
"Featherine Augustus Aurora","07th Expansion","Neutral","None","Violet","Purple","God / Eternal",200,100,100,100,100
"Feedback","Cartoon Network","Good","None","Green","None","Alien",146,75,30,90,95
"Fei Fong Wong","None","None","None","None","None","None",200,100,100,100,100
"Feitan Portor","Shueisha","None","None","Black","Black","None",180,90,25,100,35
"Felicity Smoak","DC Comics","None","None","None","None","None",160,80,1,7,5
"Felix Faust","DC Comics","Bad","None","Purple","Black","Human",140,70,6,35,15
"Female Titan","Kodansha","Bad","Annie Leonhart","Blue","Blond","Human",140,70,55,90,30
"Fembots","None","Bad","None",NA,NA,"Android",120,60,5,70,15
"Fencer (EDF5)","None","Good","Air Raider,Ranger,Wing Diver",NA,NA,"Human",100,50,25,60,20
"Feng Wei","Namco","Bad","None","Blue / White","Black","Human",140,70,30,95,35
"Fenrir Greyback","J. K. Rowling","Bad","None","Brown","Black","None",110,55,1,40,10
"Fenris","DC Comics","Bad","None","Yellow",NA,"God / Eternal",200,100,100,95,100
"Fernus","DC Comics","Bad","None","Red","No Hair","Martian",180,90,100,85,100
"Fi","Nintendo","Good","None","Blue / White","Blue","Robot",156,80,1,40,25
"Fiddlesticks","Riot Games","Bad","None","Red","No Hair","Demon",80,40,40,60,55
"Fifty Sue","DC Comics","Neutral","None","Yellow","Brown","Human",130,65,75,70,60
"Figment","Disney","Neutral","None","Yellow","No Hair","Dragon",90,45,100,5,100
"Filius Flitwick","J. K. Rowling","Good","None","Brown","Brown","Human",150,75,1,60,10
"Fin Fang Foom","Marvel Comics","Good","None","Red","No Hair","Kakarantharaian",150,75,100,75,85
"Final Boss Veigar (Arcadia)","Riot Games","Bad","None",NA,NA,"None",170,85,50,30,80
"Final Getsuga Tenshou","Shueisha","None","None",NA,NA,"None",160,80,55,100,60
"Finarfin","J. R. R. Tolkien","Good","None",NA,NA,"Elf",150,75,25,90,60
"Finger Bearer","Shueisha","Bad","None","Black","No Hair","None",120,60,55,80,70
"Fingolfin","J. R. R. Tolkien","None","None","Brown","Black","Elf",170,85,25,100,50
"Finn Mikaelson","Team Epic TV","Bad","None","Hazel","Brown","None",140,70,25,70,30
"Finral Roulacase","Shueisha","Good","None","Purple","Brown","Human",90,45,5,25,20
"Finrod","J. R. R. Tolkien","Good","None",NA,NA,"Elf",200,100,30,70,60
"Fiora","Riot Games","Neutral","None","Blue","Black","Human",120,60,1,90,10
"Fire","DC Comics","None","None","None","None","None",110,55,10,35,15
"Fire Elementor","Mattel","Bad","None","White","No Hair","Robot",90,45,25,40,35
"Fire Fist Ace","Shueisha","Good","None","Black","Black","Human",120,60,25,80,15
"Fire God Liu Kang","Mortal Kombat","Good","Liu Kang","Blue / White","Grey","God / Eternal",130,65,100,100,100
"Fire Monster","IDW Publishing","Neutral","None","Yellow","No Hair","Kaiju",80,40,75,30,20
"Firebird","Marvel Comics","Good","None","Brown","Black","None",120,60,25,55,100
"Firebreather","Image Comics","Good","None","Yellow","Orange","Kaiju",120,60,60,60,35
"Firefist","Marvel Comics","Neutral","None",NA,NA,"Human",100,50,1,30,10
"Firefly","DC Comics","Bad","None","Blue","White","Human",130,65,25,19,14
"Firelord","Marvel Comics","Good","None","White","Yellow","None",120,60,85,75,100
"Firenze The Centaur","J. K. Rowling","Good","None",NA,NA,"None",110,55,5,65,10
"Firepower","Marvel Comics","Neutral","None","Brown","Black","Human",130,65,50,75,30
"Firestar","Marvel Comics","Good","None","Blue","Red","Human",120,60,1,40,20
"Firestorm","DC Comics","Good","None","Brown","Black","None",150,75,100,100,100
"Firestorm (Universal Elemental)","DC Comics","Good","Firestorm",NA,NA,"God / Eternal",200,100,100,85,100
"First Born","DC Comics","Bad","None","White","Black","God / Eternal",130,65,100,95,95
"Fisk Brantner (Upgrade)","None","Bad","None",NA,NA,"Human",120,60,8,75,8
"Fixer","George Lucas","Good","None",NA,NA,"Human",92,45,1,55,7
"Fizz","Riot Games","Neutral","None","Green","Blue","None",130,65,5,70,15
"Flag-Smasher","Marvel Comics","Bad","None","Brown","Brown / Black","Human",120,60,25,60,15
"Flame Princess","Cartoon Network","Good","None","Black","Red","Alien",90,45,25,55,75
"Flamebird","DC Comics",NA,"None","Brown","Brown","Kryptonian",140,70,95,70,70
"Flameslinger","Activision Blizzard","Good","None",NA,"Blue","Elf",125,65,1,75,7
"Flandre Scarlet","None","Bad","None","Red","Yellow","Human",80,40,100,100,100
"Flash","DC Comics","Good","Future Flash","Blue","Blond","Metahuman",160,80,25,70,60
"Flash (Unmoored)","DC Comics","None","Black Lantern,Flash,Flash Dr Manhattan","None","None","None",150,75,100,70,100
"Flash Dr Manhattan","DC Comics","Good","Black Lantern,Flash,Flash",NA,NA,"None",200,100,100,100,100
"Flashulk","Amalgam Comics","None","None","Green","Black","None",140,70,100,70,100
"Flashy Flash","Shueisha","Good","None","Blue","Blond","Human",140,70,60,95,35
"Flaw","DC Comics","Bad","None","No eyes","No Hair","None",80,40,60,30,55
"Floki","None","Good","None",NA,NA,"Human",140,70,1,60,10
"Flora","Nickelodeon","Good","None","Green","Brown","Human",125,65,50,45,40
"Flux","Marvel Comics","Bad","None","Green","Green","Human",100,50,100,70,100
"Flying Dutchmen","Nickelodeon","Bad","None",NA,NA,"None",130,65,25,30,80
"Foetodon","None","Neutral","None","Amber",NA,"Kaiju",60,30,75,20,15
"Forager","DC Comics","Good","None","Yellow","No Hair","Alien",110,55,20,30,15
"Ford Pines","Disney","Good","None","White","Grey","None",170,85,1,25,8
"Forever Ninja","Cartoon Network","Bad","None","Red","None","Robot",140,70,25,90,30
"Formaggio","Shueisha","Bad","None","Green","Grey","Human",140,70,1,70,10
"Formless Spawn","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Forrest Gump","None","Good","None",NA,NA,"None",90,45,5,40,7
"Fortitudo","Sega","Bad","None","White","No Hair","None",120,60,35,50,50
"Founding Titan","Kodansha","Neutral","None","No eyes","Blond","Demon",100,50,75,30,35
"Four Arms","Cartoon Network","Good","None","Green","No Hair","Alien",110,55,95,100,95
"Fourmungousaur","Cartoon Network","Good","None","Green",NA,"None",120,60,95,100,95
"Fox","None","Good","None","Green","Pink","None",170,85,25,75,30
"Frank Zhang","Rick Riordan","Good","None","Brown","Black","Demi-God",140,70,100,90,55
"Franken-Castle","Marvel Comics","Neutral","Cosmic Ghost Phoenix Rider,Old Man Castle,Old Man Punisher,Punisher","White","Black","Human",130,65,30,95,30
"Franken Stein","Square Enix","Good","None","Grey","Grey","Human",180,90,1,55,35
"FrankenBoris","None","Bad","None",NA,"Black","Zombie",90,45,25,10,8
"Frankenstein","DC Comics","None","None","None","None","None",110,55,50,70,75
"Frankenstrike","Cartoon Network","Good","None","Green","Black","Alien",115,60,85,65,95
"Franklin Clinton","Rockstar Games","None","None","None","None","None",110,55,1,45,8
"Franklin Richards","Marvel Comics","Good","None","Blue","Blond","Mutant",130,65,100,25,100
"Franklin Richards (Adult)","Marvel Comics","Good","Franklin Richards","Blue","Blond","Mutant",160,80,100,60,100
"Franklin Richards (Beyonders Power)","Marvel Comics","None","Franklin Richards","None","None","None",200,100,100,100,100
"Franky","Shueisha","Good","None","Black","Blue","Cyborg",160,80,100,70,35
"Frau","Kodansha","Good","None","Blue","Blond","God / Eternal",150,75,50,80,15
"Freak","Image Comics","Bad","None","Brown","White","None",120,60,55,95,40
"Freakazoid","None","None","None","None","None","None",195,100,45,100,40
"Fred","Hanna-Barbera","Good","None","Black","Blond","Human",150,75,6,35,6
"Fred Andrews","None","None","None","None","None","None",110,55,5,30,5
"Fred Flintstone","Hanna-Barbera","None","None","None","None","None",90,45,25,12,30
"Fred Weasley","J. K. Rowling","Good","None",NA,"Red / Orange","Human",140,70,1,45,10
"Fredbear","None","Neutral","None","White","No Hair","Robot",90,45,25,15,10
"Freddie Sykes","None","None","None","None","None","None",200,100,100,100,100
"Freddy Krueger","Wildstorm","Bad","None","Grey","None","Demon",140,70,1,40,30
"Free De La Hoya","None","Good","None","Black","Blond","None",140,70,15,80,7
"Free Guy","Disney","Good","None",NA,"Black","None",120,60,25,70,10
"Freed Justine","Kodansha","Good","None","Blue","Green","None",118,60,1,70,40
"Freestyle","DC Comics","Bad","None","Blue","Blond","Human",120,60,1,50,10
"Freya","Wildstorm",NA,"None",NA,NA,"God / Eternal",170,85,55,75,70
"Freya Mikaelson","Team Epic TV","Neutral","None","Green","Blond","Human",140,70,1,20,10
"Freyalise (Pre-Mending)","Hasbro","Good","None",NA,"Brown","Elf",150,75,30,70,90
"Freyjadour Falenas","Konami","Good","None","Blue","Silver","Human",110,55,1,90,25
"Frieda Reiss","Kodansha","Good","None","Blue","Black","Human",140,70,5,40,5
"Frieza","Shueisha","Bad","Frieza (First Form),Frieza (Second Form),Frieza (Third Form),Golden Frieza","Red","No Hair","Alien",140,70,100,90,100
"Frieza (First Form)","Shueisha","Bad","Frieza,Frieza (Second Form),Frieza (Third Form),Golden Frieza","Red","No Hair","Mutant",160,80,100,95,70
